,YEAR,LOCATION,STATE_FIPS,COUNTY_FIPS,YIELD,AREA,TOTAL_YIELD
160,2018,"ILLINOIS, EAST, IROQUOIS",17,75,196.0,313000,61348000.0
161,2018,"ILLINOIS, EAST, KANKAKEE",17,91,181.7,175000,31797499.999999996
162,2018,"ILLINOIS, EAST, LIVINGSTON",17,105,207.5,294000,61005000.0
163,2018,"ILLINOIS, EAST, PIATT",17,147,241.8,121800,29451240.0
164,2018,"ILLINOIS, EAST, VERMILION",17,183,218.8,215000,47042000.0
165,2018,"ILLINOIS, NORTHEAST, BOONE",17,7,194.1,70100,13606410.0
166,2018,"ILLINOIS, NORTHEAST, DE KALB",17,37,190.3,202000,38440600.0
167,2018,"ILLINOIS, NORTHEAST, GRUNDY",17,63,201.0,99700,20039700.0
168,2018,"ILLINOIS, NORTHEAST, KANE",17,89,189.4,74400,14091360.0
169,2018,"ILLINOIS, NORTHEAST, KENDALL",17,93,208.0,73500,15288000.0
170,2018,"ILLINOIS, NORTHEAST, LA SALLE",17,99,215.0,279500,60092500.0
171,2018,"ILLINOIS, NORTHEAST, MCHENRY",17,111,190.8,87300,16656840.000000002
172,2018,"ILLINOIS, NORTHEAST, WILL",17,197,186.3,91600,17065080.0
173,2018,"ILLINOIS, NORTHWEST, BUREAU",17,11,214.1,261000,55880100.0
174,2018,"ILLINOIS, NORTHWEST, CARROLL",17,15,217.1,130700,28374970.0
175,2018,"ILLINOIS, NORTHWEST, HENRY",17,73,219.5,223500,49058250.0
176,2018,"ILLINOIS, NORTHWEST, JO DAVIESS",17,85,209.1,93100,19467210.0
177,2018,"ILLINOIS, NORTHWEST, LEE",17,103,205.9,233500,48077650.0
178,2018,"ILLINOIS, NORTHWEST, MERCER",17,131,231.3,139400,32243220.0
179,2018,"ILLINOIS, NORTHWEST, OGLE",17,141,198.2,211500,41919300.0
180,2018,"ILLINOIS, NORTHWEST, PUTNAM",17,155,206.2,32000,6598400.0
181,2018,"ILLINOIS, NORTHWEST, ROCK ISLAND",17,161,223.4,66000,14744400.0
182,2018,"ILLINOIS, NORTHWEST, STEPHENSON",17,177,209.1,157700,32975070.0
183,2018,"ILLINOIS, NORTHWEST, WHITESIDE",17,195,215.9,223000,48145700.0
184,2018,"ILLINOIS, NORTHWEST, WINNEBAGO",17,201,184.4,90600,16706640.0
185,2018,"ILLINOIS, SOUTHEAST, EDWARDS",17,47,168.6,39600,6676560.0
186,2018,"ILLINOIS, SOUTHEAST, FRANKLIN",17,55,155.5,26900,4182950.0
187,2018,"ILLINOIS, SOUTHEAST, GALLATIN",17,59,169.8,54900,9322020.0
188,2018,"ILLINOIS, SOUTHEAST, HAMILTON",17,65,163.6,68600,11222960.0
189,2018,"ILLINOIS, SOUTHEAST, JEFFERSON",17,81,161.2,40400,6512480.0
190,2018,"ILLINOIS, SOUTHEAST, SALINE",17,165,160.5,37600,6034800.0
191,2018,"ILLINOIS, SOUTHEAST, WAYNE",17,191,177.2,109300,19367960.0
192,2018,"ILLINOIS, SOUTHEAST, WHITE",17,193,172.4,82700,14257480.0
193,2018,"ILLINOIS, SOUTHWEST, ALEXANDER",17,3,188.4,6700,1262280.0
194,2018,"ILLINOIS, SOUTHWEST, CLINTON",17,27,184.8,83900,15504720.000000002
195,2018,"ILLINOIS, SOUTHWEST, JACKSON",17,77,162.2,25300,4103659.9999999995
196,2018,"ILLINOIS, SOUTHWEST, MONROE",17,133,173.6,48600,8436960.0
197,2018,"ILLINOIS, SOUTHWEST, PERRY",17,145,147.7,41500,6129549.999999999
198,2018,"ILLINOIS, SOUTHWEST, RANDOLPH",17,157,165.4,58100,9609740.0
199,2018,"ILLINOIS, SOUTHWEST, ST CLAIR",17,163,186.4,89900,16757360.0
200,2018,"ILLINOIS, SOUTHWEST, WASHINGTON",17,189,180.7,91700,16570189.999999998
201,2018,"ILLINOIS, SOUTHWEST, WILLIAMSON",17,199,165.4,17000,2811800.0
202,2018,"ILLINOIS, WEST SOUTHWEST, CASS",17,17,223.5,81700,18259950.0
203,2018,"ILLINOIS, WEST SOUTHWEST, CHRISTIAN",17,21,232.9,179400,41782260.0
204,2018,"ILLINOIS, WEST SOUTHWEST, GREENE",17,61,207.2,108000,22377600.0
205,2018,"ILLINOIS, WEST SOUTHWEST, MACOUPIN",17,117,215.3,170500,36708650.0
206,2018,"ILLINOIS, WEST SOUTHWEST, MADISON",17,119,197.8,101400,20056920.0
207,2018,"ILLINOIS, WEST SOUTHWEST, MONTGOMERY",17,135,222.8,155300,34600840.0
208,2018,"ILLINOIS, WEST SOUTHWEST, MORGAN",17,137,228.5,129700,29636450.0
209,2018,"ILLINOIS, WEST SOUTHWEST, PIKE",17,149,182.6,148300,27079580.0
210,2018,"ILLINOIS, WEST SOUTHWEST, SANGAMON",17,167,236.4,189100,44703240.0
211,2018,"ILLINOIS, WEST, ADAMS",17,1,197.8,147000,29076600.0
212,2018,"ILLINOIS, WEST, BROWN",17,9,187.9,34000,6388600.0
213,2018,"ILLINOIS, WEST, FULTON",17,57,218.0,132900,28972200.0
214,2018,"ILLINOIS, WEST, HANCOCK",17,67,233.8,167700,39208260.0
215,2018,"ILLINOIS, WEST, HENDERSON",17,71,213.3,88200,18813060.0
216,2018,"ILLINOIS, WEST, KNOX",17,95,226.5,157400,35651100.0
217,2018,"ILLINOIS, WEST, MCDONOUGH",17,109,228.9,135900,31107510.0
218,2018,"ILLINOIS, WEST, SCHUYLER",17,169,202.5,62500,12656250.0
219,2018,"ILLINOIS, WEST, WARREN",17,187,241.7,147400,35626580.0
220,2018,"INDIANA, CENTRAL, BARTHOLOMEW",18,5,189.3,54400,10297920.0
221,2018,"INDIANA, CENTRAL, BOONE",18,11,198.9,91000,18099900.0
222,2018,"INDIANA, CENTRAL, CLINTON",18,23,213.9,101000,21603900.0
223,2018,"INDIANA, CENTRAL, DECATUR",18,31,206.8,74000,15303200.0
224,2018,"INDIANA, CENTRAL, GRANT",18,53,204.4,68500,14001400.0
225,2018,"INDIANA, CENTRAL, HAMILTON",18,57,174.5,44700,7800150.0
226,2018,"INDIANA, CENTRAL, HANCOCK",18,59,187.5,52800,9900000.0
227,2018,"INDIANA, CENTRAL, HENDRICKS",18,63,206.9,63800,13200220.0
228,2018,"INDIANA, CENTRAL, HOWARD",18,67,215.7,59800,12898860.0
229,2018,"INDIANA, CENTRAL, MADISON",18,95,205.1,79000,16202900.0
230,2018,"INDIANA, CENTRAL, MORGAN",18,109,197.0,39600,7801200.0
231,2018,"INDIANA, CENTRAL, RUSH",18,139,203.9,102000,20797800.0
232,2018,"INDIANA, CENTRAL, SHELBY",18,145,194.3,87500,17001250.0
233,2018,"INDIANA, CENTRAL, TIPTON",18,159,215.5,64500,13899750.0
234,2018,"INDIANA, EAST CENTRAL, BLACKFORD",18,9,201.0,28600,5748600.0
235,2018,"INDIANA, EAST CENTRAL, DELAWARE",18,35,208.1,61500,12798150.0
236,2018,"INDIANA, EAST CENTRAL, FAYETTE",18,41,198.6,36500,7248900.0
237,2018,"INDIANA, EAST CENTRAL, HENRY",18,65,198.5,67000,13299500.0
238,2018,"INDIANA, EAST CENTRAL, JAY",18,75,188.6,70000,13202000.0
239,2018,"INDIANA, EAST CENTRAL, RANDOLPH",18,135,184.8,99000,18295200.0
240,2018,"INDIANA, EAST CENTRAL, UNION",18,161,203.9,30900,6300510.0
241,2018,"INDIANA, EAST CENTRAL, WAYNE",18,177,191.7,60500,11597850.0
242,2018,"INDIANA, NORTH CENTRAL, CARROLL",18,15,204.7,86000,17604200.0
243,2018,"INDIANA, NORTH CENTRAL, CASS",18,17,195.5,88000,17204000.0
244,2018,"INDIANA, NORTH CENTRAL, ELKHART",18,39,172.5,40000,6900000.0
245,2018,"INDIANA, NORTH CENTRAL, FULTON",18,49,187.2,86000,16099199.999999998
246,2018,"INDIANA, NORTH CENTRAL, KOSCIUSKO",18,85,179.8,94000,16901200.0
247,2018,"INDIANA, NORTH CENTRAL, MARSHALL",18,99,175.6,86000,15101600.0
248,2018,"INDIANA, NORTH CENTRAL, MIAMI",18,103,191.4,58000,11101200.0
249,2018,"INDIANA, NORTH CENTRAL, ST. JOSEPH",18,141,164.2,67000,11001400.0
250,2018,"INDIANA, NORTH CENTRAL, WABASH",18,169,201.4,70000,14098000.0
251,2018,"INDIANA, NORTHEAST, ADAMS",18,1,194.5,55000,10697500.0
252,2018,"INDIANA, NORTHEAST, ALLEN",18,3,181.7,71000,12900700.0
253,2018,"INDIANA, NORTHEAST, DE KALB",18,33,159.5,42000,6699000.0
254,2018,"INDIANA, NORTHEAST, HUNTINGTON",18,69,183.0,53000,9699000.0
255,2018,"INDIANA, NORTHEAST, LAGRANGE",18,87,142.1,38000,5399800.0
256,2018,"INDIANA, NORTHEAST, NOBLE",18,113,170.7,58000,9900600.0
257,2018,"INDIANA, NORTHEAST, STEUBEN",18,151,150.0,38000,5700000.0
258,2018,"INDIANA, NORTHEAST, WELLS",18,179,204.1,73000,14899300.0
259,2018,"INDIANA, NORTHEAST, WHITLEY",18,183,180.7,57000,10299900.0
260,2018,"INDIANA, NORTHWEST, BENTON",18,7,201.7,115000,23195500.0
261,2018,"INDIANA, NORTHWEST, JASPER",18,73,164.5,138000,22701000.0
262,2018,"INDIANA, NORTHWEST, LA PORTE",18,91,159.0,105000,16695000.0
263,2018,"INDIANA, NORTHWEST, NEWTON",18,111,198.9,92000,18298800.0
264,2018,"INDIANA, NORTHWEST, PORTER",18,127,182.1,56000,10197600.0
265,2018,"INDIANA, NORTHWEST, PULASKI",18,131,169.1,97000,16402700.0
266,2018,"INDIANA, NORTHWEST, WHITE",18,181,196.9,131000,25793900.0
267,2018,"INDIANA, SOUTH CENTRAL, HARRISON",18,61,189.2,18500,3500200.0
268,2018,"INDIANA, SOUTH CENTRAL, JACKSON",18,71,173.2,56000,9699200.0
269,2018,"INDIANA, SOUTH CENTRAL, LAWRENCE",18,93,192.1,17700,3400170.0
270,2018,"INDIANA, SOUTH CENTRAL, MONROE",18,105,181.8,5500,999900.0000000001
271,2018,"INDIANA, SOUTH CENTRAL, ORANGE",18,117,206.7,22500,4650750.0
272,2018,"INDIANA, SOUTH CENTRAL, WASHINGTON",18,175,184.1,35300,6498730.0
273,2018,"INDIANA, SOUTHEAST, CLARK",18,19,178.7,15500,2769850.0
274,2018,"INDIANA, SOUTHEAST, DEARBORN",18,29,176.7,6000,1060200.0
275,2018,"INDIANA, SOUTHEAST, FRANKLIN",18,47,185.7,35000,6499500.0
276,2018,"INDIANA, SOUTHEAST, JEFFERSON",18,77,185.0,10700,1979500.0
277,2018,"INDIANA, SOUTHEAST, JENNINGS",18,79,181.6,29300,5320880.0
278,2018,"INDIANA, SOUTHEAST, OHIO",18,115,180.0,2500,450000.0
279,2018,"INDIANA, SOUTHEAST, RIPLEY",18,137,182.9,38000,6950200.0
280,2018,"INDIANA, SOUTHEAST, SCOTT",18,143,180.2,11100,2000219.9999999998
281,2018,"INDIANA, SOUTHEAST, SWITZERLAND",18,155,178.0,5900,1050200.0
282,2018,"INDIANA, SOUTHWEST, DAVIESS",18,27,196.2,79500,15597900.0
283,2018,"INDIANA, SOUTHWEST, DUBOIS",18,37,187.1,46500,8700150.0
284,2018,"INDIANA, SOUTHWEST, GIBSON",18,51,184.0,94000,17296000.0
285,2018,"INDIANA, SOUTHWEST, GREENE",18,55,179.1,45500,8149050.0
286,2018,"INDIANA, SOUTHWEST, KNOX",18,83,179.4,107000,19195800.0
287,2018,"INDIANA, SOUTHWEST, MARTIN",18,101,182.9,17500,3200750.0
288,2018,"INDIANA, SOUTHWEST, POSEY",18,129,182.1,78000,14203800.0
289,2018,"INDIANA, SOUTHWEST, SULLIVAN",18,153,187.3,58200,10900860.0
290,2018,"INDIANA, SOUTHWEST, VANDERBURGH",18,163,179.6,28400,5100640.0
291,2018,"INDIANA, SOUTHWEST, WARRICK",18,173,161.2,30400,4900480.0
292,2018,"INDIANA, WEST CENTRAL, CLAY",18,21,181.5,54000,9801000.0
293,2018,"INDIANA, WEST CENTRAL, OWEN",18,119,172.7,22000,3799399.9999999995
294,2018,"INDIANA, WEST CENTRAL, PARKE",18,121,192.7,55000,10598500.0
295,2018,"INDIANA, WEST CENTRAL, PUTNAM",18,133,196.8,63000,12398400.0
296,2018,"INDIANA, WEST CENTRAL, TIPPECANOE",18,157,201.1,90000,18099000.0
297,2018,"INDIANA, WEST CENTRAL, VERMILLION",18,165,197.5,44800,8848000.0
298,2018,"INDIANA, WEST CENTRAL, VIGO",18,167,176.4,46200,8149680.0
299,2018,"INDIANA, WEST CENTRAL, WARREN",18,171,206.4,78000,16099200.0
300,2018,"IOWA, CENTRAL, BOONE",19,15,193.7,152400,29519880.0
