YEAR,LOCATION,"STATE ANSI","ASD CODE","COUNTY ANSI","REFERENCE PERIOD",COMMODITY,"AREA HARVESTED in ACRES","PRODUCTION in BU","YIELD in BU / ACRE","AREA PLANTED in ACRES","PRODUCTION in TONS","YIELD in TONS / ACRE"
2018,"ALABAMA, NORTHERN VALLEY, MADISON",01,10,089,YEAR,CORN," "," "," ","24,700"," "," "
2018,"ALABAMA, NORTHERN VALLEY, MORGAN",01,10,103,YEAR,CORN," "," "," ","4,700"," "," "
2018,"ALABAMA, NORTHERN VALLEY, OTHER (COMBINED) COUNTIES",01,10," ",YEAR,CORN," "," "," ","2,200"," "," "
2018,"ALABAMA, UPPER PLAINS & PIEDMONT, FAYETTE",01,30,057,YEAR,CORN," "," "," ",700," "," "
2018,"ALABAMA, UPPER PLAINS & PIEDMONT, OTHER (COMBINED) COUNTIES",01,30," ",YEAR,CORN," "," "," ","6,600"," "," "
2018,"ALABAMA, UPPER PLAINS & PIEDMONT, RANDOLPH",01,30,111,YEAR,CORN," "," "," ","1,100"," "," "
2018,"ALABAMA, UPPER PLAINS & PIEDMONT, TALLADEGA",01,30,121,YEAR,CORN," "," "," ","6,400"," "," "
2018,"ALABAMA, UPPER PLAINS & PIEDMONT, TUSCALOOSA",01,30,125,YEAR,CORN," "," "," ","1,500"," "," "
2018,"ALABAMA, UPPER PLAINS & PIEDMONT, WALKER",01,30,127,YEAR,CORN," "," "," ",700," "," "
2018,"ALABAMA, WIREGRASS, CRENSHAW",01,60,041,YEAR,CORN," "," "," ","1,900"," "," "
2018,"ALABAMA, WIREGRASS, GENEVA",01,60,061,YEAR,CORN," "," "," ","6,400"," "," "
2018,"ALABAMA, WIREGRASS, HENRY",01,60,067,YEAR,CORN," "," "," ","3,400"," "," "
2018,"ALABAMA, WIREGRASS, HOUSTON",01,60,069,YEAR,CORN," "," "," ","2,200"," "," "
2018,"ALABAMA, WIREGRASS, OTHER (COMBINED) COUNTIES",01,60," ",YEAR,CORN," "," "," ","17,100"," "," "
2018,"ARKANSAS, EAST CENTRAL, ARKANSAS",05,60,001,YEAR,CORN," "," "," ","44,900"," "," "
2018,"ARKANSAS, EAST CENTRAL, CRITTENDEN",05,60,035,YEAR,CORN," "," "," ","16,200"," "," "
2018,"ARKANSAS, EAST CENTRAL, CROSS",05,60,037,YEAR,CORN," "," "," ","19,800"," "," "
2018,"ARKANSAS, EAST CENTRAL, LEE",05,60,077,YEAR,CORN," "," "," ","36,000"," "," "
2018,"ARKANSAS, EAST CENTRAL, LONOKE",05,60,085,YEAR,CORN," "," "," ","38,600"," "," "
2018,"ARKANSAS, EAST CENTRAL, MONROE",05,60,095,YEAR,CORN," "," "," ","26,900"," "," "
2018,"ARKANSAS, EAST CENTRAL, PHILLIPS",05,60,107,YEAR,CORN," "," "," ","32,300"," "," "
2018,"ARKANSAS, EAST CENTRAL, PRAIRIE",05,60,117,YEAR,CORN," "," "," ","19,600"," "," "
2018,"ARKANSAS, EAST CENTRAL, SAINT FRANCIS",05,60,123,YEAR,CORN," "," "," ","21,500"," "," "
2018,"ARKANSAS, EAST CENTRAL, WOODRUFF",05,60,147,YEAR,CORN," "," "," ","22,200"," "," "
2018,"ARKANSAS, NORTHEAST, CLAY",05,30,021,YEAR,CORN," "," "," ","29,400"," "," "
2018,"ARKANSAS, NORTHEAST, CRAIGHEAD",05,30,031,YEAR,CORN," "," "," ","34,100"," "," "
2018,"ARKANSAS, NORTHEAST, GREENE",05,30,055,YEAR,CORN," "," "," ","16,200"," "," "
2018,"ARKANSAS, NORTHEAST, JACKSON",05,30,067,YEAR,CORN," "," "," ","15,100"," "," "
2018,"ARKANSAS, NORTHEAST, MISSISSIPPI",05,30,093,YEAR,CORN," "," "," ","19,700"," "," "
2018,"ARKANSAS, NORTHEAST, OTHER (COMBINED) COUNTIES",05,30," ",YEAR,CORN," "," "," ","16,700"," "," "
2018,"ARKANSAS, NORTHEAST, POINSETT",05,30,111,YEAR,CORN," "," "," ","25,500"," "," "
2018,"ARKANSAS, NORTHEAST, RANDOLPH",05,30,121,YEAR,CORN," "," "," ","4,300"," "," "
2018,"ARKANSAS, NORTHEAST, WHITE",05,30,145,YEAR,CORN," "," "," ","7,000"," "," "
2018,"ARKANSAS, NORTHWEST, OTHER (COMBINED) COUNTIES",05,10," ",YEAR,CORN," "," "," ","1,600"," "," "
2018,"ARKANSAS, SOUTHEAST, ASHLEY",05,90,003,YEAR,CORN," "," "," ","27,300"," "," "
2018,"ARKANSAS, SOUTHEAST, CHICOT",05,90,017,YEAR,CORN," "," "," ","29,200"," "," "
2018,"ARKANSAS, SOUTHEAST, DESHA",05,90,041,YEAR,CORN," "," "," ","26,200"," "," "
2018,"ARKANSAS, SOUTHEAST, DREW",05,90,043,YEAR,CORN," "," "," ","8,000"," "," "
2018,"ARKANSAS, SOUTHEAST, JEFFERSON",05,90,069,YEAR,CORN," "," "," ","37,400"," "," "
2018,"ARKANSAS, SOUTHEAST, LINCOLN",05,90,079,YEAR,CORN," "," "," ","19,400"," "," "
2018,"ARKANSAS, WEST CENTRAL, OTHER (COMBINED) COUNTIES",05,40," ",YEAR,CORN," "," "," ","12,500"," "," "
2018,"CALIFORNIA, SACRAMENTO VALLEY, GLENN",06,50,021,YEAR,CORN," "," "," ","8,200"," "," "
2018,"CALIFORNIA, SACRAMENTO VALLEY, OTHER (COMBINED) COUNTIES",06,50," ",YEAR,CORN," "," "," ","3,500"," "," "
2018,"CALIFORNIA, SACRAMENTO VALLEY, SACRAMENTO",06,50,067,YEAR,CORN," "," "," ","19,200"," "," "
2018,"CALIFORNIA, SACRAMENTO VALLEY, SOLANO",06,50,095,YEAR,CORN," "," "," ","3,700"," "," "
2018,"CALIFORNIA, SACRAMENTO VALLEY, SUTTER",06,50,101,YEAR,CORN," "," "," ","6,300"," "," "
2018,"CALIFORNIA, SACRAMENTO VALLEY, YOLO",06,50,113,YEAR,CORN," "," "," ","5,900"," "," "
2018,"CALIFORNIA, SAN JOAQUIN VALLEY, OTHER (COMBINED) COUNTIES",06,51," ",YEAR,CORN," "," "," ","288,500"," "," "
2018,"CALIFORNIA, SAN JOAQUIN VALLEY, SAN JOAQUIN",06,51,077,YEAR,CORN," "," "," ","46,000"," "," "
2018,"CALIFORNIA, SAN JOAQUIN VALLEY, STANISLAUS",06,51,099,YEAR,CORN," "," "," ","32,500"," "," "
2018,"COLORADO, EAST CENTRAL, ADAMS",08,60,001,YEAR,CORN," "," "," ","33,000"," "," "
2018,"COLORADO, EAST CENTRAL, CHEYENNE",08,60,017,YEAR,CORN," "," "," ","85,300"," "," "
2018,"COLORADO, EAST CENTRAL, KIOWA",08,60,061,YEAR,CORN," "," "," ","35,600"," "," "
2018,"COLORADO, EAST CENTRAL, KIT CARSON",08,60,063,YEAR,CORN," "," "," ","241,700"," "," "
2018,"COLORADO, EAST CENTRAL, LINCOLN",08,60,073,YEAR,CORN," "," "," ","22,900"," "," "
2018,"COLORADO, EAST CENTRAL, OTHER (COMBINED) COUNTIES",08,60," ",YEAR,CORN," "," "," ","12,700"," "," "
2018,"COLORADO, EAST CENTRAL, PHILLIPS",08,60,095,YEAR,CORN," "," "," ","124,500"," "," "
2018,"COLORADO, EAST CENTRAL, WASHINGTON",08,60,121,YEAR,CORN," "," "," ","139,200"," "," "
2018,"COLORADO, EAST CENTRAL, YUMA",08,60,125,YEAR,CORN," "," "," ","242,600"," "," "
2018,"COLORADO, NORTHEAST, MORGAN",08,20,087,YEAR,CORN," "," "," ","78,300"," "," "
2018,"COLORADO, NORTHEAST, OTHER (COMBINED) COUNTIES",08,20," ",YEAR,CORN," "," "," ","107,600"," "," "
2018,"COLORADO, NORTHEAST, SEDGWICK",08,20,115,YEAR,CORN," "," "," ","67,900"," "," "
2018,"COLORADO, NORTHEAST, WELD",08,20,123,YEAR,CORN," "," "," ","124,500"," "," "
2018,"COLORADO, SOUTHEAST, BENT",08,90,011,YEAR,CORN," "," "," ","12,400"," "," "
2018,"COLORADO, SOUTHEAST, OTERO",08,90,089,YEAR,CORN," "," "," ","5,500"," "," "
2018,"COLORADO, SOUTHEAST, OTHER (COMBINED) COUNTIES",08,90," ",YEAR,CORN," "," "," ","100,600"," "," "
2018,"COLORADO, SOUTHEAST, PUEBLO",08,90,101,YEAR,CORN," "," "," ","5,500"," "," "
2018,"DELAWARE, CENTRAL, KENT",10,50,001,YEAR,CORN," "," "," ","52,500"," "," "
2018,"DELAWARE, NORTHERN, NEW CASTLE",10,20,003,YEAR,CORN," "," "," ","16,500"," "," "
2018,"DELAWARE, SOUTHERN, SUSSEX",10,80,005,YEAR,CORN," "," "," ","101,000"," "," "
2018,"GEORGIA, CENTRAL, BLECKLEY",13,50,023,YEAR,CORN," "," "," ","3,400"," "," "
2018,"GEORGIA, CENTRAL, DODGE",13,50,091,YEAR,CORN," "," "," ","2,200"," "," "
2018,"GEORGIA, CENTRAL, MONTGOMERY",13,50,209,YEAR,CORN," "," "," ",900," "," "
2018,"GEORGIA, CENTRAL, OTHER (COMBINED) COUNTIES",13,50," ",YEAR,CORN," "," "," ","25,400"," "," "
2018,"GEORGIA, EAST CENTRAL, BULLOCH",13,60,031,YEAR,CORN," "," "," ","3,700"," "," "
2018,"GEORGIA, EAST CENTRAL, BURKE",13,60,033,YEAR,CORN," "," "," ","12,500"," "," "
2018,"GEORGIA, EAST CENTRAL, JEFFERSON",13,60,163,YEAR,CORN," "," "," ","9,400"," "," "
2018,"GEORGIA, EAST CENTRAL, JENKINS",13,60,165,YEAR,CORN," "," "," ","2,400"," "," "
2018,"GEORGIA, EAST CENTRAL, OTHER (COMBINED) COUNTIES",13,60," ",YEAR,CORN," "," "," ","4,800"," "," "
2018,"GEORGIA, EAST CENTRAL, SCREVEN",13,60,251,YEAR,CORN," "," "," ","5,000"," "," "
2018,"GEORGIA, NORTH CENTRAL, HALL",13,20,139,YEAR,CORN," "," "," ",700," "," "
2018,"GEORGIA, NORTH CENTRAL, OTHER (COMBINED) COUNTIES",13,20," ",YEAR,CORN," "," "," ","3,100"," "," "
2018,"GEORGIA, NORTHEAST, BANKS",13,30,011,YEAR,CORN," "," "," ",500," "," "
2018,"GEORGIA, NORTHEAST, HART",13,30,147,YEAR,CORN," "," "," ","1,000"," "," "
2018,"GEORGIA, NORTHEAST, OTHER (COMBINED) COUNTIES",13,30," ",YEAR,CORN," "," "," ","2,800"," "," "
2018,"GEORGIA, NORTHWEST, BARTOW",13,10,015,YEAR,CORN," "," "," ","2,400"," "," "
2018,"GEORGIA, NORTHWEST, CHATTOOGA",13,10,055,YEAR,CORN," "," "," ","2,100"," "," "
2018,"GEORGIA, NORTHWEST, FLOYD",13,10,115,YEAR,CORN," "," "," ","2,200"," "," "
2018,"GEORGIA, NORTHWEST, GORDON",13,10,129,YEAR,CORN," "," "," ","2,800"," "," "
2018,"GEORGIA, NORTHWEST, OTHER (COMBINED) COUNTIES",13,10," ",YEAR,CORN," "," "," ","6,200"," "," "
2018,"GEORGIA, NORTHWEST, WHITFIELD",13,10,313,YEAR,CORN," "," "," ",600," "," "
2018,"GEORGIA, SOUTH CENTRAL, ATKINSON",13,80,003,YEAR,CORN," "," "," ","1,000"," "," "
2018,"GEORGIA, SOUTH CENTRAL, BERRIEN",13,80,019,YEAR,CORN," "," "," ","5,300"," "," "
2018,"GEORGIA, SOUTH CENTRAL, BROOKS",13,80,027,YEAR,CORN," "," "," ","7,200"," "," "
2018,"GEORGIA, SOUTH CENTRAL, COFFEE",13,80,069,YEAR,CORN," "," "," ","2,700"," "," "
2018,"GEORGIA, SOUTH CENTRAL, COLQUITT",13,80,071,YEAR,CORN," "," "," ","3,300"," "," "
2018,"GEORGIA, SOUTH CENTRAL, COOK",13,80,075,YEAR,CORN," "," "," ","1,900"," "," "
2018,"GEORGIA, SOUTH CENTRAL, DOOLY",13,80,093,YEAR,CORN," "," "," ","3,800"," "," "
2018,"GEORGIA, SOUTH CENTRAL, IRWIN",13,80,155,YEAR,CORN," "," "," ","5,200"," "," "
2018,"GEORGIA, SOUTH CENTRAL, JEFF DAVIS",13,80,161,YEAR,CORN," "," "," ","2,000"," "," "
2018,"GEORGIA, SOUTH CENTRAL, OTHER (COMBINED) COUNTIES",13,80," ",YEAR,CORN," "," "," ","10,800"," "," "
2018,"GEORGIA, SOUTH CENTRAL, TURNER",13,80,287,YEAR,CORN," "," "," ","2,500"," "," "
2018,"GEORGIA, SOUTH CENTRAL, WORTH",13,80,321,YEAR,CORN," "," "," ","4,900"," "," "
2018,"GEORGIA, SOUTHEAST, EVANS",13,90,109,YEAR,CORN," "," "," ","1,100"," "," "
2018,"GEORGIA, SOUTHEAST, OTHER (COMBINED) COUNTIES",13,90," ",YEAR,CORN," "," "," ","13,800"," "," "
2018,"GEORGIA, SOUTHEAST, PIERCE",13,90,229,YEAR,CORN," "," "," ","6,100"," "," "
2018,"GEORGIA, SOUTHEAST, TATTNALL",13,90,267,YEAR,CORN," "," "," ","4,400"," "," "
2018,"GEORGIA, SOUTHEAST, TOOMBS",13,90,279,YEAR,CORN," "," "," ","3,800"," "," "
2018,"GEORGIA, SOUTHWEST, BAKER",13,70,007,YEAR,CORN," "," "," ","8,500"," "," "
2018,"GEORGIA, SOUTHWEST, CALHOUN",13,70,037,YEAR,CORN," "," "," ","8,800"," "," "
2018,"GEORGIA, SOUTHWEST, DECATUR",13,70,087,YEAR,CORN," "," "," ","10,600"," "," "
2018,"GEORGIA, SOUTHWEST, DOUGHERTY",13,70,095,YEAR,CORN," "," "," ","2,300"," "," "
2018,"GEORGIA, SOUTHWEST, EARLY",13,70,099,YEAR,CORN," "," "," ","9,200"," "," "
2018,"GEORGIA, SOUTHWEST, GRADY",13,70,131,YEAR,CORN," "," "," ","7,400"," "," "
2018,"GEORGIA, SOUTHWEST, LEE",13,70,177,YEAR,CORN," "," "," ","13,000"," "," "
2018,"GEORGIA, SOUTHWEST, MILLER",13,70,201,YEAR,CORN," "," "," ","12,700"," "," "
2018,"GEORGIA, SOUTHWEST, MITCHELL",13,70,205,YEAR,CORN," "," "," ","10,400"," "," "
2018,"GEORGIA, SOUTHWEST, OTHER (COMBINED) COUNTIES",13,70," ",YEAR,CORN," "," "," ","2,100"," "," "
2018,"GEORGIA, SOUTHWEST, RANDOLPH",13,70,243,YEAR,CORN," "," "," ","9,200"," "," "
2018,"GEORGIA, SOUTHWEST, SEMINOLE",13,70,253,YEAR,CORN," "," "," ","10,300"," "," "
2018,"GEORGIA, SOUTHWEST, SUMTER",13,70,261,YEAR,CORN," "," "," ","13,500"," "," "
2018,"GEORGIA, SOUTHWEST, TERRELL",13,70,273,YEAR,CORN," "," "," ","13,300"," "," "
2018,"GEORGIA, SOUTHWEST, THOMAS",13,70,275,YEAR,CORN," "," "," ","3,600"," "," "
2018,"GEORGIA, SOUTHWEST, WEBSTER",13,70,307,YEAR,CORN," "," "," ","1,100"," "," "
2018,"GEORGIA, WEST CENTRAL, MACON",13,40,193,YEAR,CORN," "," "," ","8,700"," "," "
2018,"GEORGIA, WEST CENTRAL, MARION",13,40,197,YEAR,CORN," "," "," ","1,100"," "," "
2018,"GEORGIA, WEST CENTRAL, MERIWETHER",13,40,199,YEAR,CORN," "," "," ",700," "," "
2018,"GEORGIA, WEST CENTRAL, OTHER (COMBINED) COUNTIES",13,40," ",YEAR,CORN," "," "," ","3,600"," "," "
2018,"GEORGIA, WEST CENTRAL, TAYLOR",13,40,269,YEAR,CORN," "," "," ","1,000"," "," "
2018,"IDAHO, SOUTH CENTRAL, CASSIA",16,80,031,YEAR,CORN," "," "," ","41,000"," "," "
2018,"IDAHO, SOUTH CENTRAL, GOODING",16,80,047,YEAR,CORN," "," "," ","41,400"," "," "
2018,"IDAHO, SOUTH CENTRAL, JEROME",16,80,053,YEAR,CORN," "," "," ","41,000"," "," "
2018,"IDAHO, SOUTH CENTRAL, LINCOLN",16,80,063,YEAR,CORN," "," "," ","14,000"," "," "
2018,"IDAHO, SOUTH CENTRAL, OTHER (COMBINED) COUNTIES",16,80," ",YEAR,CORN," "," "," ","13,100"," "," "
2018,"IDAHO, SOUTH CENTRAL, TWIN FALLS",16,80,083,YEAR,CORN," "," "," ","65,000"," "," "
2018,"IDAHO, SOUTHWEST, ADA",16,70,001,YEAR,CORN," "," "," ","11,000"," "," "
2018,"IDAHO, SOUTHWEST, CANYON",16,70,027,YEAR,CORN," "," "," ","28,000"," "," "
2018,"IDAHO, SOUTHWEST, GEM",16,70,045,YEAR,CORN," "," "," ","5,500"," "," "
2018,"IDAHO, SOUTHWEST, OTHER (COMBINED) COUNTIES",16,70," ",YEAR,CORN," "," "," ","18,000"," "," "
2018,"IDAHO, SOUTHWEST, OWYHEE",16,70,073,YEAR,CORN," "," "," ","23,100"," "," "
2018,"IDAHO, SOUTHWEST, PAYETTE",16,70,075,YEAR,CORN," "," "," ","8,400"," "," "
2018,"ILLINOIS, CENTRAL, DE WITT",17,40,039,YEAR,CORN," "," "," ","102,000"," "," "
2018,"ILLINOIS, CENTRAL, LOGAN",17,40,107,YEAR,CORN," "," "," ","177,000"," "," "
2018,"ILLINOIS, CENTRAL, MACON",17,40,115,YEAR,CORN," "," "," ","149,000"," "," "
2018,"ILLINOIS, CENTRAL, MARSHALL",17,40,123,YEAR,CORN," "," "," ","96,200"," "," "
2018,"ILLINOIS, CENTRAL, MCLEAN",17,40,113,YEAR,CORN," "," "," ","314,500"," "," "
2018,"ILLINOIS, CENTRAL, OTHER (COMBINED) COUNTIES",17,40," ",YEAR,CORN," "," "," ","188,800"," "," "
2018,"ILLINOIS, CENTRAL, PEORIA",17,40,143,YEAR,CORN," "," "," ","104,000"," "," "
2018,"ILLINOIS, CENTRAL, STARK",17,40,175,YEAR,CORN," "," "," ","87,000"," "," "
2018,"ILLINOIS, CENTRAL, TAZEWELL",17,40,179,YEAR,CORN," "," "," ","139,500"," "," "
2018,"ILLINOIS, CENTRAL, WOODFORD",17,40,203,YEAR,CORN," "," "," ","124,000"," "," "
2018,"ILLINOIS, EAST SOUTHEAST, CLARK",17,70,023,YEAR,CORN," "," "," ","92,400"," "," "
2018,"ILLINOIS, EAST SOUTHEAST, CLAY",17,70,025,YEAR,CORN," "," "," ","67,500"," "," "
2018,"ILLINOIS, EAST SOUTHEAST, COLES",17,70,029,YEAR,CORN," "," "," ","115,000"," "," "
2018,"ILLINOIS, EAST SOUTHEAST, CRAWFORD",17,70,033,YEAR,CORN," "," "," ","80,900"," "," "
2018,"ILLINOIS, EAST SOUTHEAST, DOUGLAS",17,70,041,YEAR,CORN," "," "," ","109,500"," "," "
2018,"ILLINOIS, EAST SOUTHEAST, EDGAR",17,70,045,YEAR,CORN," "," "," ","159,000"," "," "
2018,"ILLINOIS, EAST SOUTHEAST, EFFINGHAM",17,70,049,YEAR,CORN," "," "," ","81,900"," "," "
2018,"ILLINOIS, EAST SOUTHEAST, JASPER",17,70,079,YEAR,CORN," "," "," ","95,800"," "," "
2018,"ILLINOIS, EAST SOUTHEAST, LAWRENCE",17,70,101,YEAR,CORN," "," "," ","71,000"," "," "
2018,"ILLINOIS, EAST SOUTHEAST, MARION",17,70,121,YEAR,CORN," "," "," ","61,200"," "," "
2018,"ILLINOIS, EAST SOUTHEAST, MOULTRIE",17,70,139,YEAR,CORN," "," "," ","87,500"," "," "
2018,"ILLINOIS, EAST SOUTHEAST, OTHER (COMBINED) COUNTIES",17,70," ",YEAR,CORN," "," "," ","172,200"," "," "
2018,"ILLINOIS, EAST SOUTHEAST, RICHLAND",17,70,159,YEAR,CORN," "," "," ","69,600"," "," "
2018,"ILLINOIS, EAST SOUTHEAST, SHELBY",17,70,173,YEAR,CORN," "," "," ","170,500"," "," "
2018,"ILLINOIS, EAST, CHAMPAIGN",17,50,019,YEAR,CORN," "," "," ","276,000"," "," "
2018,"ILLINOIS, EAST, FORD",17,50,053,YEAR,CORN," "," "," ","142,500"," "," "
2018,"ILLINOIS, EAST, IROQUOIS",17,50,075,YEAR,CORN," "," "," ","316,000"," "," "
2018,"ILLINOIS, EAST, KANKAKEE",17,50,091,YEAR,CORN," "," "," ","179,000"," "," "
2018,"ILLINOIS, EAST, LIVINGSTON",17,50,105,YEAR,CORN," "," "," ","297,500"," "," "
2018,"ILLINOIS, EAST, PIATT",17,50,147,YEAR,CORN," "," "," ","123,000"," "," "
2018,"ILLINOIS, EAST, VERMILION",17,50,183,YEAR,CORN," "," "," ","217,000"," "," "
2018,"ILLINOIS, NORTHEAST, BOONE",17,20,007,YEAR,CORN," "," "," ","72,300"," "," "
2018,"ILLINOIS, NORTHEAST, DE KALB",17,20,037,YEAR,CORN," "," "," ","204,000"," "," "
2018,"ILLINOIS, NORTHEAST, GRUNDY",17,20,063,YEAR,CORN," "," "," ","100,500"," "," "
2018,"ILLINOIS, NORTHEAST, KANE",17,20,089,YEAR,CORN," "," "," ","75,100"," "," "
2018,"ILLINOIS, NORTHEAST, KENDALL",17,20,093,YEAR,CORN," "," "," ","74,100"," "," "
2018,"ILLINOIS, NORTHEAST, LA SALLE",17,20,099,YEAR,CORN," "," "," ","282,000"," "," "
2018,"ILLINOIS, NORTHEAST, MCHENRY",17,20,111,YEAR,CORN," "," "," ","90,300"," "," "
2018,"ILLINOIS, NORTHEAST, OTHER (COMBINED) COUNTIES",17,20," ",YEAR,CORN," "," "," ","14,300"," "," "
2018,"ILLINOIS, NORTHEAST, WILL",17,20,197,YEAR,CORN," "," "," ","92,400"," "," "
2018,"ILLINOIS, NORTHWEST, BUREAU",17,10,011,YEAR,CORN," "," "," ","264,000"," "," "
2018,"ILLINOIS, NORTHWEST, CARROLL",17,10,015,YEAR,CORN," "," "," ","134,000"," "," "
2018,"ILLINOIS, NORTHWEST, HENRY",17,10,073,YEAR,CORN," "," "," ","226,500"," "," "
2018,"ILLINOIS, NORTHWEST, JO DAVIESS",17,10,085,YEAR,CORN," "," "," ","98,500"," "," "
2018,"ILLINOIS, NORTHWEST, LEE",17,10,103,YEAR,CORN," "," "," ","236,500"," "," "
2018,"ILLINOIS, NORTHWEST, MERCER",17,10,131,YEAR,CORN," "," "," ","141,000"," "," "
2018,"ILLINOIS, NORTHWEST, OGLE",17,10,141,YEAR,CORN," "," "," ","217,000"," "," "
2018,"ILLINOIS, NORTHWEST, PUTNAM",17,10,155,YEAR,CORN," "," "," ","32,300"," "," "
2018,"ILLINOIS, NORTHWEST, ROCK ISLAND",17,10,161,YEAR,CORN," "," "," ","68,400"," "," "
2018,"ILLINOIS, NORTHWEST, STEPHENSON",17,10,177,YEAR,CORN," "," "," ","166,500"," "," "
2018,"ILLINOIS, NORTHWEST, WHITESIDE",17,10,195,YEAR,CORN," "," "," ","226,000"," "," "
2018,"ILLINOIS, NORTHWEST, WINNEBAGO",17,10,201,YEAR,CORN," "," "," ","92,300"," "," "
2018,"ILLINOIS, SOUTHEAST, EDWARDS",17,90,047,YEAR,CORN," "," "," ","41,600"," "," "
2018,"ILLINOIS, SOUTHEAST, FRANKLIN",17,90,055,YEAR,CORN," "," "," ","27,800"," "," "
2018,"ILLINOIS, SOUTHEAST, GALLATIN",17,90,059,YEAR,CORN," "," "," ","55,600"," "," "
2018,"ILLINOIS, SOUTHEAST, HAMILTON",17,90,065,YEAR,CORN," "," "," ","69,200"," "," "
2018,"ILLINOIS, SOUTHEAST, JEFFERSON",17,90,081,YEAR,CORN," "," "," ","41,700"," "," "
2018,"ILLINOIS, SOUTHEAST, OTHER (COMBINED) COUNTIES",17,90," ",YEAR,CORN," "," "," ","77,700"," "," "
2018,"ILLINOIS, SOUTHEAST, SALINE",17,90,165,YEAR,CORN," "," "," ","38,400"," "," "
2018,"ILLINOIS, SOUTHEAST, WAYNE",17,90,191,YEAR,CORN," "," "," ","114,500"," "," "
2018,"ILLINOIS, SOUTHEAST, WHITE",17,90,193,YEAR,CORN," "," "," ","83,500"," "," "
2018,"ILLINOIS, SOUTHWEST, ALEXANDER",17,80,003,YEAR,CORN," "," "," ","6,900"," "," "
2018,"ILLINOIS, SOUTHWEST, CLINTON",17,80,027,YEAR,CORN," "," "," ","95,900"," "," "
2018,"ILLINOIS, SOUTHWEST, JACKSON",17,80,077,YEAR,CORN," "," "," ","26,400"," "," "
2018,"ILLINOIS, SOUTHWEST, MONROE",17,80,133,YEAR,CORN," "," "," ","49,700"," "," "
2018,"ILLINOIS, SOUTHWEST, OTHER (COMBINED) COUNTIES",17,80," ",YEAR,CORN," "," "," ","27,100"," "," "
2018,"ILLINOIS, SOUTHWEST, PERRY",17,80,145,YEAR,CORN," "," "," ","42,500"," "," "
2018,"ILLINOIS, SOUTHWEST, RANDOLPH",17,80,157,YEAR,CORN," "," "," ","59,200"," "," "
2018,"ILLINOIS, SOUTHWEST, ST CLAIR",17,80,163,YEAR,CORN," "," "," ","91,000"," "," "
2018,"ILLINOIS, SOUTHWEST, WASHINGTON",17,80,189,YEAR,CORN," "," "," ","96,100"," "," "
