YEAR,LOCATION,"STATE ANSI","ASD CODE","COUNTY ANSI","REFERENCE PERIOD",COMMODITY,"AREA HARVESTED in ACRES","PRODUCTION in $","PRODUCTION in BU","YIELD in BU / ACRE","PRODUCTION in TONS","YIELD in TONS / ACRE","AREA PLANTED in ACRES","PRICE RECEIVED in $ / BU"
2013,MICHIGAN,26," "," ",YEAR,CORN," "," "," "," "," "," ","2,600,000"," "
2013,MINNESOTA,27," "," ",YEAR,CORN," "," "," "," "," "," ","8,600,000"," "
2013,MISSISSIPPI,28," "," ",YEAR,CORN," "," "," "," "," "," ","860,000"," "
2013,MISSOURI,29," "," ",YEAR,CORN," "," "," "," "," "," ","3,350,000"," "
2013,MONTANA,30," "," ",YEAR,CORN," "," "," "," "," "," ","120,000"," "
2013,NEBRASKA,31," "," ",YEAR,CORN," "," "," "," "," "," ","9,950,000"," "
2013,NEVADA,32," "," ",YEAR,CORN," "," "," "," "," "," ","7,000"," "
2013,"NEW HAMPSHIRE",33," "," ",YEAR,CORN," "," "," "," "," "," ","14,000"," "
2013,"NEW JERSEY",34," "," ",YEAR,CORN," "," "," "," "," "," ","90,000"," "
2013,"NEW MEXICO",35," "," ",YEAR,CORN," "," "," "," "," "," ","120,000"," "
2013,"NEW YORK",36," "," ",YEAR,CORN," "," "," "," "," "," ","1,200,000"," "
2013,"NORTH CAROLINA",37," "," ",YEAR,CORN," "," "," "," "," "," ","930,000"," "
2013,"NORTH DAKOTA",38," "," ",YEAR,CORN," "," "," "," "," "," ","3,850,000"," "
2013,OHIO,39," "," ",YEAR,CORN," "," "," "," "," "," ","3,900,000"," "
2013,OKLAHOMA,40," "," ",YEAR,CORN," "," "," "," "," "," ","370,000"," "
2013,OREGON,41," "," ",YEAR,CORN," "," "," "," "," "," ","80,000"," "
2013,PENNSYLVANIA,42," "," ",YEAR,CORN," "," "," "," "," "," ","1,480,000"," "
2013,"RHODE ISLAND",44," "," ",YEAR,CORN," "," "," "," "," "," ","2,000"," "
2013,"SOUTH CAROLINA",45," "," ",YEAR,CORN," "," "," "," "," "," ","350,000"," "
2013,"SOUTH DAKOTA",46," "," ",YEAR,CORN," "," "," "," "," "," ","6,200,000"," "
2013,TENNESSEE,47," "," ",YEAR,CORN," "," "," "," "," "," ","890,000"," "
2013,TEXAS,48," "," ",YEAR,CORN," "," "," "," "," "," ","2,350,000"," "
2013,UTAH,49," "," ",YEAR,CORN," "," "," "," "," "," ","83,000"," "
2013,VERMONT,50," "," ",YEAR,CORN," "," "," "," "," "," ","92,000"," "
2013,VIRGINIA,51," "," ",YEAR,CORN," "," "," "," "," "," ","510,000"," "
2013,WASHINGTON,53," "," ",YEAR,CORN," "," "," "," "," "," ","190,000"," "
2013,"WEST VIRGINIA",54," "," ",YEAR,CORN," "," "," "," "," "," ","53,000"," "
2013,WISCONSIN,55," "," ",YEAR,CORN," "," "," "," "," "," ","4,100,000"," "
2013,WYOMING,56," "," ",YEAR,CORN," "," "," "," "," "," ","100,000"," "
2014,ALABAMA,01," "," ",YEAR,CORN," "," "," "," "," "," ","300,000"," "
2014,ARIZONA,04," "," ",YEAR,CORN," "," "," "," "," "," ","75,000"," "
2014,ARKANSAS,05," "," ",YEAR,CORN," "," "," "," "," "," ","540,000"," "
2014,CALIFORNIA,06," "," ",YEAR,CORN," "," "," "," "," "," ","520,000"," "
2014,COLORADO,08," "," ",YEAR,CORN," "," "," "," "," "," ","1,150,000"," "
2014,CONNECTICUT,09," "," ",YEAR,CORN," "," "," "," "," "," ","26,000"," "
2014,DELAWARE,10," "," ",YEAR,CORN," "," "," "," "," "," ","175,000"," "
2014,FLORIDA,12," "," ",YEAR,CORN," "," "," "," "," "," ","75,000"," "
2014,GEORGIA,13," "," ",YEAR,CORN," "," "," "," "," "," ","350,000"," "
2014,IDAHO,16," "," ",YEAR,CORN," "," "," "," "," "," ","320,000"," "
2014,ILLINOIS,17," "," ",YEAR,CORN," "," "," "," "," "," ","11,900,000"," "
2014,INDIANA,18," "," ",YEAR,CORN," "," "," "," "," "," ","5,900,000"," "
2014,IOWA,19," "," ",YEAR,CORN," "," "," "," "," "," ","13,700,000"," "
2014,KANSAS,20," "," ",YEAR,CORN," "," "," "," "," "," ","4,050,000"," "
2014,KENTUCKY,21," "," ",YEAR,CORN," "," "," "," "," "," ","1,520,000"," "
2014,LOUISIANA,22," "," ",YEAR,CORN," "," "," "," "," "," ","400,000"," "
2014,MAINE,23," "," ",YEAR,CORN," "," "," "," "," "," ","31,000"," "
2014,MARYLAND,24," "," ",YEAR,CORN," "," "," "," "," "," ","500,000"," "
2014,MASSACHUSETTS,25," "," ",YEAR,CORN," "," "," "," "," "," ","16,000"," "
2014,MICHIGAN,26," "," ",YEAR,CORN," "," "," "," "," "," ","2,550,000"," "
2014,MINNESOTA,27," "," ",YEAR,CORN," "," "," "," "," "," ","8,200,000"," "
2014,MISSISSIPPI,28," "," ",YEAR,CORN," "," "," "," "," "," ","510,000"," "
2014,MISSOURI,29," "," ",YEAR,CORN," "," "," "," "," "," ","3,500,000"," "
2014,MONTANA,30," "," ",YEAR,CORN," "," "," "," "," "," ","130,000"," "
2014,NEBRASKA,31," "," ",YEAR,CORN," "," "," "," "," "," ","9,300,000"," "
2014,NEVADA,32," "," ",YEAR,CORN," "," "," "," "," "," ","4,000"," "
2014,"NEW HAMPSHIRE",33," "," ",YEAR,CORN," "," "," "," "," "," ","15,000"," "
2014,"NEW JERSEY",34," "," ",YEAR,CORN," "," "," "," "," "," ","85,000"," "
2014,"NEW MEXICO",35," "," ",YEAR,CORN," "," "," "," "," "," ","125,000"," "
2014,"NEW YORK",36," "," ",YEAR,CORN," "," "," "," "," "," ","1,140,000"," "
2014,"NORTH CAROLINA",37," "," ",YEAR,CORN," "," "," "," "," "," ","840,000"," "
2014,"NORTH DAKOTA",38," "," ",YEAR,CORN," "," "," "," "," "," ","2,800,000"," "
2014,OHIO,39," "," ",YEAR,CORN," "," "," "," "," "," ","3,700,000"," "
2014,OKLAHOMA,40," "," ",YEAR,CORN," "," "," "," "," "," ","320,000"," "
2014,OREGON,41," "," ",YEAR,CORN," "," "," "," "," "," ","80,000"," "
2014,PENNSYLVANIA,42," "," ",YEAR,CORN," "," "," "," "," "," ","1,460,000"," "
2014,"RHODE ISLAND",44," "," ",YEAR,CORN," "," "," "," "," "," ","2,000"," "
2014,"SOUTH CAROLINA",45," "," ",YEAR,CORN," "," "," "," "," "," ","295,000"," "
2014,"SOUTH DAKOTA",46," "," ",YEAR,CORN," "," "," "," "," "," ","5,800,000"," "
2014,TENNESSEE,47," "," ",YEAR,CORN," "," "," "," "," "," ","920,000"," "
2014,TEXAS,48," "," ",YEAR,CORN," "," "," "," "," "," ","2,250,000"," "
2014,UTAH,49," "," ",YEAR,CORN," "," "," "," "," "," ","75,000"," "
2014,VERMONT,50," "," ",YEAR,CORN," "," "," "," "," "," ","92,000"," "
2014,VIRGINIA,51," "," ",YEAR,CORN," "," "," "," "," "," ","500,000"," "
2014,WASHINGTON,53," "," ",YEAR,CORN," "," "," "," "," "," ","215,000"," "
2014,"WEST VIRGINIA",54," "," ",YEAR,CORN," "," "," "," "," "," ","51,000"," "
2014,WISCONSIN,55," "," ",YEAR,CORN," "," "," "," "," "," ","4,000,000"," "
2014,WYOMING,56," "," ",YEAR,CORN," "," "," "," "," "," ","90,000"," "
2015,ALABAMA,01," "," ",YEAR,CORN," "," "," "," "," "," ","260,000"," "
2015,ARIZONA,04," "," ",YEAR,CORN," "," "," "," "," "," ","75,000"," "
2015,ARKANSAS,05," "," ",YEAR,CORN," "," "," "," "," "," ","460,000"," "
2015,CALIFORNIA,06," "," ",YEAR,CORN," "," "," "," "," "," ","440,000"," "
2015,COLORADO,08," "," ",YEAR,CORN," "," "," "," "," "," ","1,100,000"," "
2015,CONNECTICUT,09," "," ",YEAR,CORN," "," "," "," "," "," ","26,000"," "
2015,DELAWARE,10," "," ",YEAR,CORN," "," "," "," "," "," ","170,000"," "
2015,FLORIDA,12," "," ",YEAR,CORN," "," "," "," "," "," ","80,000"," "
2015,GEORGIA,13," "," ",YEAR,CORN," "," "," "," "," "," ","330,000"," "
2015,IDAHO,16," "," ",YEAR,CORN," "," "," "," "," "," ","280,000"," "
2015,ILLINOIS,17," "," ",YEAR,CORN," "," "," "," "," "," ","11,700,000"," "
2015,INDIANA,18," "," ",YEAR,CORN," "," "," "," "," "," ","5,650,000"," "
2015,IOWA,19," "," ",YEAR,CORN," "," "," "," "," "," ","13,500,000"," "
2015,KANSAS,20," "," ",YEAR,CORN," "," "," "," "," "," ","4,150,000"," "
2015,KENTUCKY,21," "," ",YEAR,CORN," "," "," "," "," "," ","1,400,000"," "
2015,LOUISIANA,22," "," ",YEAR,CORN," "," "," "," "," "," ","400,000"," "
2015,MAINE,23," "," ",YEAR,CORN," "," "," "," "," "," ","31,000"," "
2015,MARYLAND,24," "," ",YEAR,CORN," "," "," "," "," "," ","440,000"," "
2015,MASSACHUSETTS,25," "," ",YEAR,CORN," "," "," "," "," "," ","16,000"," "
2015,MICHIGAN,26," "," ",YEAR,CORN," "," "," "," "," "," ","2,350,000"," "
2015,MINNESOTA,27," "," ",YEAR,CORN," "," "," "," "," "," ","8,100,000"," "
2015,MISSISSIPPI,28," "," ",YEAR,CORN," "," "," "," "," "," ","510,000"," "
2015,MISSOURI,29," "," ",YEAR,CORN," "," "," "," "," "," ","3,250,000"," "
2015,MONTANA,30," "," ",YEAR,CORN," "," "," "," "," "," ","105,000"," "
2015,NEBRASKA,31," "," ",YEAR,CORN," "," "," "," "," "," ","9,400,000"," "
2015,NEVADA,32," "," ",YEAR,CORN," "," "," "," "," "," ","2,000"," "
2015,"NEW HAMPSHIRE",33," "," ",YEAR,CORN," "," "," "," "," "," ","15,000"," "
2015,"NEW JERSEY",34," "," ",YEAR,CORN," "," "," "," "," "," ","80,000"," "
2015,"NEW MEXICO",35," "," ",YEAR,CORN," "," "," "," "," "," ","125,000"," "
2015,"NEW YORK",36," "," ",YEAR,CORN," "," "," "," "," "," ","1,080,000"," "
2015,"NORTH CAROLINA",37," "," ",YEAR,CORN," "," "," "," "," "," ","790,000"," "
2015,"NORTH DAKOTA",38," "," ",YEAR,CORN," "," "," "," "," "," ","2,750,000"," "
2015,OHIO,39," "," ",YEAR,CORN," "," "," "," "," "," ","3,550,000"," "
2015,OKLAHOMA,40," "," ",YEAR,CORN," "," "," "," "," "," ","310,000"," "
2015,OREGON,41," "," ",YEAR,CORN," "," "," "," "," "," ","65,000"," "
2015,"OTHER STATES"," "," "," ",YEAR,CORN," "," "," "," "," "," ",0," "
2015,PENNSYLVANIA,42," "," ",YEAR,CORN," "," "," "," "," "," ","1,340,000"," "
2015,"RHODE ISLAND",44," "," ",YEAR,CORN," "," "," "," "," "," ","2,000"," "
2015,"SOUTH CAROLINA",45," "," ",YEAR,CORN," "," "," "," "," "," ","295,000"," "
2015,"SOUTH DAKOTA",46," "," ",YEAR,CORN," "," "," "," "," "," ","5,400,000"," "
2015,TENNESSEE,47," "," ",YEAR,CORN," "," "," "," "," "," ","780,000"," "
2015,TEXAS,48," "," ",YEAR,CORN," "," "," "," "," "," ","2,300,000"," "
2015,UTAH,49," "," ",YEAR,CORN," "," "," "," "," "," ","65,000"," "
2015,VERMONT,50," "," ",YEAR,CORN," "," "," "," "," "," ","92,000"," "
2015,VIRGINIA,51," "," ",YEAR,CORN," "," "," "," "," "," ","450,000"," "
2015,WASHINGTON,53," "," ",YEAR,CORN," "," "," "," "," "," ","170,000"," "
2015,"WEST VIRGINIA",54," "," ",YEAR,CORN," "," "," "," "," "," ","50,000"," "
2015,WISCONSIN,55," "," ",YEAR,CORN," "," "," "," "," "," ","4,000,000"," "
2015,WYOMING,56," "," ",YEAR,CORN," "," "," "," "," "," ","85,000"," "
2016,ALABAMA,01," "," ",YEAR,CORN," "," "," "," "," "," ","330,000"," "
2016,ARIZONA,04," "," ",YEAR,CORN," "," "," "," "," "," ","95,000"," "
2016,ARKANSAS,05," "," ",YEAR,CORN," "," "," "," "," "," ","760,000"," "
2016,CALIFORNIA,06," "," ",YEAR,CORN," "," "," "," "," "," ","420,000"," "
2016,COLORADO,08," "," ",YEAR,CORN," "," "," "," "," "," ","1,340,000"," "
2016,CONNECTICUT,09," "," ",YEAR,CORN," "," "," "," "," "," ","25,000"," "
2016,DELAWARE,10," "," ",YEAR,CORN," "," "," "," "," "," ","170,000"," "
2016,FLORIDA,12," "," ",YEAR,CORN," "," "," "," "," "," ","80,000"," "
2016,GEORGIA,13," "," ",YEAR,CORN," "," "," "," "," "," ","410,000"," "
2016,IDAHO,16," "," ",YEAR,CORN," "," "," "," "," "," ","340,000"," "
2016,ILLINOIS,17," "," ",YEAR,CORN," "," "," "," "," "," ","11,600,000"," "
2016,INDIANA,18," "," ",YEAR,CORN," "," "," "," "," "," ","5,600,000"," "
2016,IOWA,19," "," ",YEAR,CORN," "," "," "," "," "," ","13,900,000"," "
2016,KANSAS,20," "," ",YEAR,CORN," "," "," "," "," "," ","5,100,000"," "
2016,KENTUCKY,21," "," ",YEAR,CORN," "," "," "," "," "," ","1,500,000"," "
2016,LOUISIANA,22," "," ",YEAR,CORN," "," "," "," "," "," ","620,000"," "
2016,MAINE,23," "," ",YEAR,CORN," "," "," "," "," "," ","31,000"," "
2016,MARYLAND,24," "," ",YEAR,CORN," "," "," "," "," "," ","460,000"," "
2016,MASSACHUSETTS,25," "," ",YEAR,CORN," "," "," "," "," "," ","16,000"," "
2016,MICHIGAN,26," "," ",YEAR,CORN," "," "," "," "," "," ","2,400,000"," "
2016,MINNESOTA,27," "," ",YEAR,CORN," "," "," "," "," "," ","8,450,000"," "
2016,MISSISSIPPI,28," "," ",YEAR,CORN," "," "," "," "," "," ","750,000"," "
2016,MISSOURI,29," "," ",YEAR,CORN," "," "," "," "," "," ","3,650,000"," "
2016,MONTANA,30," "," ",YEAR,CORN," "," "," "," "," "," ","115,000"," "
2016,NEBRASKA,31," "," ",YEAR,CORN," "," "," "," "," "," ","9,850,000"," "
2016,NEVADA,32," "," ",YEAR,CORN," "," "," "," "," "," ","11,000"," "
2016,"NEW HAMPSHIRE",33," "," ",YEAR,CORN," "," "," "," "," "," ","15,000"," "
2016,"NEW JERSEY",34," "," ",YEAR,CORN," "," "," "," "," "," ","80,000"," "
2016,"NEW MEXICO",35," "," ",YEAR,CORN," "," "," "," "," "," ","120,000"," "
2016,"NEW YORK",36," "," ",YEAR,CORN," "," "," "," "," "," ","1,100,000"," "
2016,"NORTH CAROLINA",37," "," ",YEAR,CORN," "," "," "," "," "," ","1,000,000"," "
2016,"NORTH DAKOTA",38," "," ",YEAR,CORN," "," "," "," "," "," ","3,450,000"," "
2016,OHIO,39," "," ",YEAR,CORN," "," "," "," "," "," ","3,550,000"," "
2016,OKLAHOMA,40," "," ",YEAR,CORN," "," "," "," "," "," ","400,000"," "
2016,OREGON,41," "," ",YEAR,CORN," "," "," "," "," "," ","80,000"," "
2016,"OTHER STATES"," "," "," ",YEAR,CORN," "," "," "," "," "," ",0," "
2016,PENNSYLVANIA,42," "," ",YEAR,CORN," "," "," "," "," "," ","1,400,000"," "
2016,"RHODE ISLAND",44," "," ",YEAR,CORN," "," "," "," "," "," ","2,000"," "
2016,"SOUTH CAROLINA",45," "," ",YEAR,CORN," "," "," "," "," "," ","375,000"," "
2016,"SOUTH DAKOTA",46," "," ",YEAR,CORN," "," "," "," "," "," ","5,600,000"," "
2016,TENNESSEE,47," "," ",YEAR,CORN," "," "," "," "," "," ","880,000"," "
2016,TEXAS,48," "," ",YEAR,CORN," "," "," "," "," "," ","2,900,000"," "
2016,UTAH,49," "," ",YEAR,CORN," "," "," "," "," "," ","80,000"," "
2016,VERMONT,50," "," ",YEAR,CORN," "," "," "," "," "," ","90,000"," "
2016,VIRGINIA,51," "," ",YEAR,CORN," "," "," "," "," "," ","490,000"," "
2016,WASHINGTON,53," "," ",YEAR,CORN," "," "," "," "," "," ","170,000"," "
2016,"WEST VIRGINIA",54," "," ",YEAR,CORN," "," "," "," "," "," ","49,000"," "
2016,WISCONSIN,55," "," ",YEAR,CORN," "," "," "," "," "," ","4,050,000"," "
2016,WYOMING,56," "," ",YEAR,CORN," "," "," "," "," "," ","100,000"," "
2017,ALABAMA,01," "," ",YEAR,CORN," "," "," "," "," "," ","250,000"," "
2017,ARIZONA,04," "," ",YEAR,CORN," "," "," "," "," "," ","65,000"," "
2017,ARKANSAS,05," "," ",YEAR,CORN," "," "," "," "," "," ","620,000"," "
2017,CALIFORNIA,06," "," ",YEAR,CORN," "," "," "," "," "," ","430,000"," "
2017,COLORADO,08," "," ",YEAR,CORN," "," "," "," "," "," ","1,460,000"," "
2017,CONNECTICUT,09," "," ",YEAR,CORN," "," "," "," "," "," ","24,000"," "
2017,DELAWARE,10," "," ",YEAR,CORN," "," "," "," "," "," ","180,000"," "
2017,FLORIDA,12," "," ",YEAR,CORN," "," "," "," "," "," ","75,000"," "
2017,GEORGIA,13," "," ",YEAR,CORN," "," "," "," "," "," ","290,000"," "
2017,IDAHO,16," "," ",YEAR,CORN," "," "," "," "," "," ","340,000"," "
2017,ILLINOIS,17," "," ",YEAR,CORN," "," "," "," "," "," ","11,200,000"," "
2017,INDIANA,18," "," ",YEAR,CORN," "," "," "," "," "," ","5,350,000"," "
2017,IOWA,19," "," ",YEAR,CORN," "," "," "," "," "," ","13,300,000"," "
2017,KANSAS,20," "," ",YEAR,CORN," "," "," "," "," "," ","5,500,000"," "
2017,KENTUCKY,21," "," ",YEAR,CORN," "," "," "," "," "," ","1,320,000"," "
2017,LOUISIANA,22," "," ",YEAR,CORN," "," "," "," "," "," ","500,000"," "
2017,MAINE,23," "," ",YEAR,CORN," "," "," "," "," "," ","31,000"," "
2017,MARYLAND,24," "," ",YEAR,CORN," "," "," "," "," "," ","480,000"," "
2017,MASSACHUSETTS,25," "," ",YEAR,CORN," "," "," "," "," "," ","15,000"," "
2017,MICHIGAN,26," "," ",YEAR,CORN," "," "," "," "," "," ","2,250,000"," "
2017,MINNESOTA,27," "," ",YEAR,CORN," "," "," "," "," "," ","8,050,000"," "
2017,MISSISSIPPI,28," "," ",YEAR,CORN," "," "," "," "," "," ","520,000"," "
2017,MISSOURI,29," "," ",YEAR,CORN," "," "," "," "," "," ","3,400,000"," "
2017,MONTANA,30," "," ",YEAR,CORN," "," "," "," "," "," ","115,000"," "
2017,NEBRASKA,31," "," ",YEAR,CORN," "," "," "," "," "," ","9,550,000"," "
2017,NEVADA,32," "," ",YEAR,CORN," "," "," "," "," "," ","12,000"," "
2017,"NEW HAMPSHIRE",33," "," ",YEAR,CORN," "," "," "," "," "," ","14,000"," "
2017,"NEW JERSEY",34," "," ",YEAR,CORN," "," "," "," "," "," ","77,000"," "
2017,"NEW MEXICO",35," "," ",YEAR,CORN," "," "," "," "," "," ","125,000"," "
2017,"NEW YORK",36," "," ",YEAR,CORN," "," "," "," "," "," ","1,000,000"," "
2017,"NORTH CAROLINA",37," "," ",YEAR,CORN," "," "," "," "," "," ","890,000"," "
2017,"NORTH DAKOTA",38," "," ",YEAR,CORN," "," "," "," "," "," ","3,420,000"," "
2017,OHIO,39," "," ",YEAR,CORN," "," "," "," "," "," ","3,400,000"," "
2017,OKLAHOMA,40," "," ",YEAR,CORN," "," "," "," "," "," ","350,000"," "
2017,OREGON,41," "," ",YEAR,CORN," "," "," "," "," "," ","85,000"," "
2017,"OTHER STATES"," "," "," ",YEAR,CORN," "," "," "," "," "," ",0," "
2017,PENNSYLVANIA,42," "," ",YEAR,CORN," "," "," "," "," "," ","1,350,000"," "
2017,"RHODE ISLAND",44," "," ",YEAR,CORN," "," "," "," "," "," ","2,000"," "
2017,"SOUTH CAROLINA",45," "," ",YEAR,CORN," "," "," "," "," "," ","350,000"," "
2017,"SOUTH DAKOTA",46," "," ",YEAR,CORN," "," "," "," "," "," ","5,700,000"," "
2017,TENNESSEE,47," "," ",YEAR,CORN," "," "," "," "," "," ","750,000"," "
2017,TEXAS,48," "," ",YEAR,CORN," "," "," "," "," "," ","2,450,000"," "
2017,UTAH,49," "," ",YEAR,CORN," "," "," "," "," "," ","80,000"," "
2017,VERMONT,50," "," ",YEAR,CORN," "," "," "," "," "," ","82,000"," "
2017,VIRGINIA,51," "," ",YEAR,CORN," "," "," "," "," "," ","500,000"," "
2017,WASHINGTON,53," "," ",YEAR,CORN," "," "," "," "," "," ","170,000"," "
2017,"WEST VIRGINIA",54," "," ",YEAR,CORN," "," "," "," "," "," ","50,000"," "
2017,WISCONSIN,55," "," ",YEAR,CORN," "," "," "," "," "," ","3,900,000"," "
2017,WYOMING,56," "," ",YEAR,CORN," "," "," "," "," "," ","95,000"," "
2018,ALABAMA,01," "," ",YEAR,CORN," "," "," "," "," "," ","255,000"," "
2018,ARIZONA,04," "," ",YEAR,CORN," "," "," "," "," "," ","80,000"," "
2018,ARKANSAS,05," "," ",YEAR,CORN," "," "," "," "," "," ","660,000"," "
2018,CALIFORNIA,06," "," ",YEAR,CORN," "," "," "," "," "," ","430,000"," "
2018,COLORADO,08," "," ",YEAR,CORN," "," "," "," "," "," ","1,460,000"," "
2018,CONNECTICUT,09," "," ",YEAR,CORN," "," "," "," "," "," ","23,000"," "
2018,DELAWARE,10," "," ",YEAR,CORN," "," "," "," "," "," ","170,000"," "
2018,FLORIDA,12," "," ",YEAR,CORN," "," "," "," "," "," ","95,000"," "
2018,GEORGIA,13," "," ",YEAR,CORN," "," "," "," "," "," ","325,000"," "
2018,IDAHO,16," "," ",YEAR,CORN," "," "," "," "," "," ","350,000"," "
2018,ILLINOIS,17," "," ",YEAR,CORN," "," "," "," "," "," ","11,000,000"," "
2018,INDIANA,18," "," ",YEAR,CORN," "," "," "," "," "," ","5,300,000"," "
2018,IOWA,19," "," ",YEAR,CORN," "," "," "," "," "," ","13,200,000"," "
2018,KANSAS,20," "," ",YEAR,CORN," "," "," "," "," "," ","5,450,000"," "
2018,KENTUCKY,21," "," ",YEAR,CORN," "," "," "," "," "," ","1,330,000"," "
2018,LOUISIANA,22," "," ",YEAR,CORN," "," "," "," "," "," ","460,000"," "
2018,MAINE,23," "," ",YEAR,CORN," "," "," "," "," "," ","30,000"," "
2018,MARYLAND,24," "," ",YEAR,CORN," "," "," "," "," "," ","440,000"," "
2018,MASSACHUSETTS,25," "," ",YEAR,CORN," "," "," "," "," "," ","14,000"," "
2018,MICHIGAN,26," "," ",YEAR,CORN," "," "," "," "," "," ","2,250,000"," "
2018,MINNESOTA,27," "," ",YEAR,CORN," "," "," "," "," "," ","7,900,000"," "
2018,MISSISSIPPI,28," "," ",YEAR,CORN," "," "," "," "," "," ","480,000"," "
2018,MISSOURI,29," "," ",YEAR,CORN," "," "," "," "," "," ","3,500,000"," "
2018,MONTANA,30," "," ",YEAR,CORN," "," "," "," "," "," ","115,000"," "
2018,NEBRASKA,31," "," ",YEAR,CORN," "," "," "," "," "," ","9,600,000"," "
2018,NEVADA,32," "," ",YEAR,CORN," "," "," "," "," "," ","13,000"," "
2018,"NEW HAMPSHIRE",33," "," ",YEAR,CORN," "," "," "," "," "," ","13,000"," "
2018,"NEW JERSEY",34," "," ",YEAR,CORN," "," "," "," "," "," ","70,000"," "
2018,"NEW MEXICO",35," "," ",YEAR,CORN," "," "," "," "," "," ","135,000"," "
2018,"NEW YORK",36," "," ",YEAR,CORN," "," "," "," "," "," ","1,070,000"," "
2018,"NORTH CAROLINA",37," "," ",YEAR,CORN," "," "," "," "," "," ","910,000"," "
2018,"NORTH DAKOTA",38," "," ",YEAR,CORN," "," "," "," "," "," ","3,150,000"," "
2018,OHIO,39," "," ",YEAR,CORN," "," "," "," "," "," ","3,500,000"," "
2018,OKLAHOMA,40," "," ",YEAR,CORN," "," "," "," "," "," ","310,000"," "
2018,OREGON,41," "," ",YEAR,CORN," "," "," "," "," "," ","75,000"," "
2018,"OTHER STATES"," "," "," ",YEAR,CORN," "," "," "," "," "," ",0," "
2018,PENNSYLVANIA,42," "," ",YEAR,CORN," "," "," "," "," "," ","1,250,000"," "
2018,"RHODE ISLAND",44," "," ",YEAR,CORN," "," "," "," "," "," ","2,000"," "
2018,"SOUTH CAROLINA",45," "," ",YEAR,CORN," "," "," "," "," "," ","340,000"," "
2018,"SOUTH DAKOTA",46," "," ",YEAR,CORN," "," "," "," "," "," ","5,300,000"," "
2018,TENNESSEE,47," "," ",YEAR,CORN," "," "," "," "," "," ","720,000"," "
2018,TEXAS,48," "," ",YEAR,CORN," "," "," "," "," "," ","2,200,000"," "
2018,UTAH,49," "," ",YEAR,CORN," "," "," "," "," "," ","70,000"," "
2018,VERMONT,50," "," ",YEAR,CORN," "," "," "," "," "," ","85,000"," "
2018,VIRGINIA,51," "," ",YEAR,CORN," "," "," "," "," "," ","485,000"," "
2018,WASHINGTON,53," "," ",YEAR,CORN," "," "," "," "," "," ","165,000"," "
2018,"WEST VIRGINIA",54," "," ",YEAR,CORN," "," "," "," "," "," ","46,000"," "
2018,WISCONSIN,55," "," ",YEAR,CORN," "," "," "," "," "," ","3,900,000"," "
2018,WYOMING,56," "," ",YEAR,CORN," "," "," "," "," "," ","95,000"," "
2019,ALABAMA,01," "," ",YEAR,CORN," "," "," "," "," "," ","300,000"," "
2019,ARIZONA,04," "," ",YEAR,CORN," "," "," "," "," "," ","90,000"," "
2019,ARKANSAS,05," "," ",YEAR,CORN," "," "," "," "," "," ","770,000"," "
2019,CALIFORNIA,06," "," ",YEAR,CORN," "," "," "," "," "," ","480,000"," "
2019,COLORADO,08," "," ",YEAR,CORN," "," "," "," "," "," ","1,550,000"," "
2019,CONNECTICUT,09," "," ",YEAR,CORN," "," "," "," "," "," ","23,000"," "
